pts,symbol,issue_type,status,name,ex_id,sh_out,first_trade_date,first_exchange_date,dividend,co_name_or_cik
1992-03-28 16:23:04,AAAAAAAAAAAABPK,PREF_A,ACTV,UXTO pSPhkOcarmCYSYXQYIwKFKJbp PJpwe                                  ,NASDAQ,823721866    ,19640205,18680308,        0.03,ZBmKynluEfveVpOM                                            
1992-03-29 00:05:03,AAAAAAAAAAAAAZN,PREF_C,INAC,BgeVTPPVQKluPowraJhPskRgFOAEWsFMJRDyqP                                ,AMEX  ,288674612    ,19010723,19900520,        1.44,NsdEVEJhwVPGniYhTLJCYNXlWPZSLefpXBVfBbpTGiAW                
1992-03-30 07:02:05,AAAAAAAAAAAABPJ,COMMON,ACTV,aBxDbjPsQfol                                                          ,AMEX  ,458648690    ,19610321,19480123,        0.67,0000000279
1992-03-30 19:27:04,AAAAAAAAAAAAAAV,COMMON,ACTV,KxnLUwfGZTLPuuCGopzNtiGNjCBaIxLQtlTGCQM PoqbYzaEIwwHLGNVjQoYCLCvLFMsoU,NASDAQ,737073055    ,19511102,19480325,        0.76,0000000433
1992-03-31 00:50:03,AAAAAAAAAAAABPI,PREF_A,ACTV,VzSyojzYxpEpxLTlrjkKGHVDHgnfQOc ymTJXQruFDMJGKTVtFEYnuaCWEcsDIBsQQHCG ,PCX   ,235772748    ,18660505,19251010,        1.53,KPFAOhPCFCVJPlwIEtNRzoWuB                                   
1992-03-31 01:15:03,AAAAAAAAAAAABPN,COMMON,ACTV,skDqNfJvNFVvBGAIJKMsVAGFDfGJHEvhqNuaRQbgtCOljVcy                      ,PCX   ,897983171    ,18690731,18641002,        1.69,0000000325
1992-03-31 02:24:03,AAAAAAAAAAAABPH,COMMON,ACTV,fCcgGpDAlIVRziIbpSMbofnMDUeOUjOTG djbmUMAeWyNtxr jpozijVyDPIZWxCtxoMu ,PCX   ,381953108    ,18991012,19180717,        3.00,0000000385
1992-03-31 07:47:04,AAAAAAAAAAAABPM,COMMON,ACTV,TnCoE iuzFmdtPBUqlIRIOLzMBXbMdEEhEqeGbXliFNnBTMCQGfgUPPSgIwWVJZQOSdp  ,NASDAQ,895224881    ,19591030,18801228,        0.27,JATQDqlkwGhXwnsB                                            
1992-03-31 08:32:03,AAAAAAAAAAAABPG,PREF_D,ACTV,FPgyJQBSSEHFzMMpKETrcpRF                                              ,NYSE  ,421122418    ,19471202,19811106,        2.09,0000000363
1992-03-31 17:04:05,AAAAAAAAAAAABPL,COMMON,ACTV, WYXUbCGLCxCVDhIjNiEZZSAOMS YeJBCPEGFGpqVpXSBKvFLoWKlkluflwQp         ,NYSE  ,851760721    ,19470421,18590106,        1.65,IMkIDtIdUCiUMXsqTZ                                          
1992-03-31 23:59:05,AAAAAAAAAAAABPF,COMMON,ACTV,NBxNVVJHKm nTVYpKQfTAYynfVC JEqBBQDvvHFHAzCrQL                        ,AMEX  ,462677926    ,18810406,18641015,        0.16,UGTLzMUCFokLJkoCWXYyJu                                      
