pts,year,quarter,quarter_start_date,posting_date,revenue,earnings,eps,diluted_eps,margin,inventory,assets,liabilities,sh_out,diluted_sh_out,co_name_or_cik
1994-01-01 00:24:01,1994,1,19940101,19940101,     576078515.97,      22206991.70,        0.04,        0.03,        0.04,     664924853.12,  916188746486.75,    9208226367.94,    619730305,    640907139,0000000243
1994-01-01 02:08:04,1994,1,19940101,19940101,    9075788060.42,    5454008003.71,       68.62,       65.23,        0.60,     196354649.78,  897434445971.45,    4004035101.98,     79477068,     83615950,qzuJbEnLbLOlOtyvsWNfYJGAxriKRxn                             
1994-01-01 07:53:05,1994,1,19940101,19940101,    5400170415.49,    2965401056.15,       17.33,       14.53,        0.55,     305359094.17,  588745604389.62,    8428925023.01,    171083287,    204056233,0000000596
1994-01-01 15:31:02,1994,1,19940101,19940101,    7460822023.64,    2589867318.35,       20.38,       17.15,        0.35,     864039701.51,  611297272161.68,    9245370990.65,    127058165,    150969544,QHHuZyDqgsKLdjOYTImSAhRExJnAelRZMlPQBnepXSQNQezLPcwRHZ      
1994-01-01 17:42:04,1994,1,19940101,19940101,    6650940564.06,    1615549537.82,        2.30,        2.02,        0.24,       8622520.37,  535063709740.29,    2796793279.33,    702997805,    797954203,rtctiBOdmWccYnxWNRqRUrVAqWFDRgFYKYCSbVrMRfAG                
1994-01-02 00:31:04,1994,1,19940101,19940102,    7364392814.91,    3624099760.08,        8.73,        7.55,        0.49,     913153388.11,  747137013854.96,     569435244.09,    415200702,    480069799,FvJDGTpoWYrrDFlSTC                                          
1994-01-02 06:26:02,1994,1,19940101,19940102,    1013923257.45,     590194942.38,        1.65,        1.49,        0.58,     831998260.30,  673384417276.49,    7046708815.00,    356918900,    396390460,0000000080
1994-01-02 06:41:05,1994,1,19940101,19940102,    3371714199.26,    1829362880.85,        4.45,        4.09,        0.54,     136700727.46,  443330345382.46,     156617455.25,    410935483,    447691174,jBTaFZxKSGcJVXEOAtnApSlFPFPZEVuxaj                          
1994-01-02 09:51:01,1994,1,19940101,19940102,    3976813931.13,    1536760197.45,        7.31,        6.59,        0.39,     979904080.69,  575294928031.09,    2775520299.42,    210358871,    233300439,0000000417
1994-01-02 11:43:05,1994,1,19940101,19940102,    4840434282.73,    1079862699.75,        2.83,        2.55,        0.22,     156902697.46,  998721818230.24,    8274050765.80,    382229713,    423992385,aHUGIHZFBLPMqxMvKLQZvDGAkHnUMtHIYMGULLkMrvMvSyCmX           
1994-01-02 17:52:05,1994,1,19940101,19940102,    7882433575.59,    4481614391.22,       20.24,       18.84,        0.57,     237926620.71,  478324541240.72,    5292119932.60,    221392285,    237886832,0000000016
1994-01-03 00:10:04,1994,1,19940101,19940103,    1264902264.84,     608718239.80,        7.99,        7.39,        0.48,      76629796.53,  765374366029.05,    7348623569.22,     76180200,     82324974,0000000184
1994-01-03 03:34:03,1994,1,19940101,19940103,    3591849702.74,     262464839.52,        0.75,        0.68,        0.07,     587528194.07,  380615991278.03,    3195178405.39,    350129608,    385979192,0000000325
1994-01-03 06:15:01,1994,1,19940101,19940103,    5096894047.20,    3200672747.47,        4.38,        3.75,        0.63,     800758093.73,  460061909822.29,      16351083.02,    730456173,    853276409,jACSOfFCZDlTWAuiNvQDIYVLDEoMIcvaTOJXSSlTwvMKnoBhDrctarVBTh  
1994-01-03 09:04:02,1994,1,19940101,19940103,    3732545167.20,    2018695315.75,        3.12,        2.93,        0.54,     791517146.96,  290690157744.86,    5219890709.24,    645986756,    688216451,0000000024
1994-01-03 10:04:00,1994,1,19940101,19940103,    3916364999.84,    1693380737.55,        2.04,        1.99,        0.43,     708094745.84,  459979533539.38,    2702326422.65,    831636555,    851132507,0000000290
1994-01-03 13:33:03,1994,1,19940101,19940103,    8810680914.47,    5034491768.21,       10.06,        9.85,        0.57,     435127205.27,   10152953746.34,    1888423790.94,    500556987,    511218808,AOUEDVXombADyRwbaCtIgakebE                                  
1994-01-03 18:59:03,1994,1,19940101,19940103,    7662123167.03,    1874998040.51,        7.15,        6.29,        0.24,     365965657.35,  722889065691.25,    2371838881.66,    262330547,    298007363,0000000462
1994-01-03 20:36:04,1994,1,19940101,19940103,    5373253567.87,    2316684043.17,        6.49,        5.55,        0.43,     560583712.25,  699042286755.74,    9698279360.21,    356925328,    417528711,LHLtYYBVQKIMsKuLPRKpMFxNQ                                   
1994-01-03 23:33:00,1994,1,19940101,19940103,     227663369.90,      89823495.88,        0.14,        0.12,        0.39,     677844360.69,  818194610111.97,    8605305964.20,    661773099,    729742073,0000000304
1994-01-03 23:36:01,1994,1,19940101,19940103,    2683091538.83,    1544872496.64,        4.32,        3.99,        0.58,     115372402.11,  613264610914.49,    1468629416.38,    357880382,    386936860,KyXzTQMtNFUEgaXUmTKrLVILUKSSUQ                              
1994-01-04 02:20:00,1994,1,19940101,19940104,    6027076179.64,     561403573.75,        0.64,        0.64,        0.09,     623056424.90,  555559204440.78,    9730030656.72,    877995611,    882046091,0000000601
1994-01-04 03:42:04,1994,1,19940101,19940104,    3950364266.08,     586587188.80,        0.62,        0.56,        0.15,     264185403.14,  988179771943.39,    3039192474.24,    952535278,   1040641647,0000000573
1994-01-04 04:51:02,1994,1,19940101,19940104,    9933493511.19,    1070443570.00,        1.40,        1.33,        0.11,     233315358.29,  769560752371.18,     999263938.23,    762753043,    806019112,0000000533
1994-01-04 07:44:03,1994,1,19940101,19940104,    6820056668.20,    2195229867.56,       11.84,       11.14,        0.32,     245879753.19,  549818334845.23,    3615751230.14,    185430709,    197121880,0000000367
1994-01-04 09:09:00,1994,1,19940101,19940104,    4930591479.68,    1554007980.66,        3.39,        3.33,        0.32,     588055831.36,  848101681833.56,    5287877540.07,    458164324,    466708988,EWLGmUGXPFpTzJHWSDhhEcNENrEWmoXjAnVAy                       
